Title,Author,Genre,Subject,Summary
A Day Full of Song: Work Songs from a Waldorf Kindergarten,Karen Lonsky (illustrated by Victoria Sander),Songbook / Waldorf Curriculum,"Music, Kindergarten, Pentatonic Songs","Forty original songs in the mood of the fifth, written to accompany the rhythms of a Waldorf kindergarten day — baking, tidying, gardening and rest."
"A Day in the Life of a Poo, a Gnu and You",Mike Barfield (illustrated by Jess Bradley),Children's Nonfiction / Comics,"Science, Humor, Biology","Comic-strip days in the life of everything from a dust mite to a raindrop to a black hole, packed with science."
A Feast for Crows,George R.R. Martin,Fantasy,"Westeros, Aftermath, Dynasty","The war winds down and the survivors reckon with what it cost, in King's Landing, Dorne, and the Iron Islands. Fourth of A Song of Ice and Fire."
A Game of Thrones,George R.R. Martin,Fantasy,"Westeros, Politics, Dynasty",The Stark family is drawn south into the deadly politics of King's Landing as winter approaches. First of A Song of Ice and Fire; part of a boxed set.
A Good Girl's Guide to Murder,Holly Jackson,Young Adult Mystery,"True Crime, Investigation, Small Town",Pip reopens a closed murder case for her senior capstone project and finds the town's accepted story doesn't hold. First of the trilogy.
A Journey Through Time in Verse and Rhyme,Heather Thomas,Poetry Anthology / Waldorf Curriculum,"Poetry, Seasons, Recitation","Verses and poems arranged to accompany the child's journey through the grades and the turning year, a staple of Waldorf recitation."
A Kiss for Little Bear,Else Holmelund Minarik (illustrated by Maurice Sendak),Early Reader / I Can Read,"Family, Friendship, Bears","Little Bear sends a picture to Grandmother, and her kiss travels back to him passed hen to frog to cat to skunk — with a wedding breaking out along the way."
A Light in the Attic,Shel Silverstein,Children's Poetry,"Humor, Poetry, Imagination","Silverstein's collection of odd, funny and occasionally unsettling poems and line drawings."
A Little Bit of Dirt,Asia Citro,Activity Book,"Nature Play, Crafts, Science","Fifty-five science and art activities using mud, seeds, sticks and other outdoor materials."
A Little History of the World,E.H. Gombrich,Nonfiction / History,"World History, Narrative History, Young Readers","Gombrich's forty short chapters carrying a reader from prehistory to the twentieth century, written for children and read widely by adults."
A Storm of Swords,George R.R. Martin,Fantasy,"Westeros, Betrayal, Dynasty","Alliances collapse in the war of the five kings, at a wedding and after. Third of A Song of Ice and Fire."
A Study in Drowning,Ava Reid,Young Adult Fantasy,"Gothic, Academia, Folklore","An architecture student wins a competition to redesign a dead author's crumbling seaside house, and finds the story behind his masterwork is not what it seems. Gothic dark academia."
A Travel Guide to the Middle Ages: The World Through Medieval Eyes,Anthony Bale,Nonfiction / History,"Medieval Travel, Pilgrimage, Geography","Reconstructs medieval journeys from the accounts of the people who made them, from Jerusalem pilgrimages to trade routes east. History written as an itinerary."
A Wolf Called Fire,Rosanne Parry (illustrated by Monica Armino),Children's Chapter Book / Nature,"Wolves, Yellowstone, Survival","A young wolf driven from his pack must learn to hunt, read the land, and find his place. Part of Parry's Voice of the Wilderness series."
A Wonder Book: Heroes and Monsters of Greek Mythology,Nathaniel Hawthorne,Children's Anthology,"Greek Mythology, Classic Literature","Hawthorne's nineteenth-century retellings of the Gorgon's head, the golden touch, the Chimaera and other Greek myths for children."
A World Full of Animal Stories,Angela McAllister (illustrated by Aitch),Children's Anthology,"Animal Folklore, World Cultures","Fifty animal myths, fables and folktales from around the world, brightly illustrated."
A Yankee's Adventures in South Africa,Simpson,Nonfiction / Travel,"South Africa, Boer War Era, Vintage Travel","A turn-of-the-century American traveler's account of South Africa, published by Thos. W. Jackson Pub. Co. Only the surname is legible on the spine -- worth checking the title page."
A Year Full of Stories,Angela McAllister (illustrated by Christopher Corr),Children's Anthology,"World Folklore, Seasons, Festivals","Fifty-two folktales and myths, one for each week of the year, tied to festivals and seasons from cultures worldwide."
A Young People's History of the United States,Howard Zinn (adapted by Rebecca Stefoff),Young Adult Nonfiction / History,"American History, Labor, Dissent","Zinn's A People's History adapted for younger readers, telling US history from the perspective of workers, Indigenous peoples, enslaved people, and other groups often left out of textbooks."
Aani and the Tree Huggers,Jeannine Atkins (illustrated by Venantius J. Pinto),Children's Picture Book,"Environmentalism, India, Chipko Movement","Based on India's Chipko movement: a village girl throws her arms around a tree to stop the loggers, and the women of her village follow."
Abe Lincoln's Yarns and Stories,Alexander K. McClure,Nonfiction / Humor,"Abraham Lincoln, Anecdotes, Americana","A late-nineteenth-century collection of Lincoln's jokes, yarns, and anecdotes, illustrated throughout. Antique cloth binding, worn."
Active Arithmetic!,Henning Andersen,Education / Teaching Guide,"Waldorf Education, Math Pedagogy","A practical handbook for teaching mathematics through movement in the lower grades of a Waldorf school, with clapping, stepping, rhythm and circle-game exercises that let children experience number and arithmetic bodily before working abstractly."
Adventures in Cartooning,"James Sturm, Andrew Arnold & Alexis Frederick-Frost",Children's Graphic Novel / Instructional,"Cartooning, Comics, Drawing","A knight-and-dragon quest that doubles as a comics-making lesson, teaching panels, pacing and character as the story unfolds."
Aesop's Illustrated Fables,Aesop,Folktale Anthology,"Fables, Morals, Illustrated Classic","A decorative gift edition of Aesop's fables with illustrations, gathering the fox, the crow, the tortoise, and hundreds of their companions."
African Tales: A Barefoot Collection,Gcina Mhlophe (illustrated by Rachel Griffin),Children's Anthology,"African Folklore, Storytelling","Folktales gathered from across the African continent, retold by a South African storyteller with notes on their origins."
After the Fall: How Humpty Dumpty Got Back Up Again,Dan Santat,Children's Picture Book,"Fear, Resilience, Fairy Tales","What happened to Humpty Dumpty after the fall: a story about fear of heights, slow recovery, and a surprising transformation at the top of the wall."
After World,Debbie Urbanski,Science Fiction,"Extinction, AI Narrator, Rewilding","The last human on a deliberately depopulated Earth is documented by the AI assigned to record her, in a novel assembled from logs, transcripts, and story fragments."
Alcatraz vs. the Evil Librarians,Brandon Sanderson,Children's Chapter Book / Fantasy,"Humor, Conspiracy, Libraries","Alcatraz Smedry discovers his talent for breaking things is a family power, and that librarians secretly rule the world. A comic middle-grade fantasy narrated by an unreliable hero."
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,Illustrated Classic,"Nonsense, Dreams, Victorian England","Both Alice books in one vintage volume, from the rabbit hole to the looking-glass chessboard."
All About Homophones,Marie Rippel,Teaching Guide / Workbook,"Homophones, Spelling, Vocabulary","A complete homophone tool kit for grades 1–8 with graphic organizers, 101 worksheets, games and activities covering hundreds of sound-alike word pairs."
All About Mermaids,Izzy Quinn (illustrated by Vlad Stankovic),Children's Nonfiction / Folklore,"Mermaids, Myth and Legend","An illustrated compendium of mermaid lore from cultures around the world, covering legends, sightings and the sea creatures behind the stories."
All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,Memoir,"Veterinary Medicine, Yorkshire, Rural Life","Herriot's Yorkshire veterinary memoirs, warm and funny and full of farmers and livestock. This is the two-volumes-in-one omnibus edition."
Allegiant,Veronica Roth,Young Adult Dystopian Fiction,"Factions, Truth, Sacrifice",Tris and Tobias go beyond the fence and learn what the faction experiment was for. Final book of the Divergent trilogy.
Alone with You in the Ether,Olivie Blake,Literary Fiction / Romance,"Mental Illness, Art and Physics, Chicago",Two people meet in a Chicago museum and fall into a relationship shaped by bipolar disorder and obsessive thought. A character study rather than a conventional romance.
Amazing Bees,National Geographic / Step into Reading,Early Reader Nonfiction,"Bees, Insects, Pollination","A beginning reader on how bees live, work the hive and pollinate the plants we depend on."
Amazing True Facts,Parragon,Children's Nonfiction,"Trivia, General Knowledge","Thousands of freaky, gross and unbelievable true facts about the body, space, animals, history and science, in short photo-illustrated bursts."
An Anthology of Intriguing Animals,DK,Children's Reference / Illustrated Anthology,"Animals, Natural History","A gilt-covered illustrated compendium profiling animals from across the animal kingdom, mixing natural history facts with detailed artwork."
An Echo of Things to Come,James Islington,Fantasy,"Prophecy, Magic, Time","The Boundary weakens while Davian, Asha, and Wirr each face what their roles demand. Second of the Licanius Trilogy."
Ancient Civilizations,Simon & Schuster,Children's Reference,Ancient History,An illustrated reference on the great ancient civilizations and what archaeology has revealed about them.
Ancient Forests,Margaret Anderson & Nancy Stephenson,Children's Nonfiction,"Forests, Old Growth, Ecology",A Dog-Eared Publications guide to old-growth forest ecology with activities and illustrations.
"Ancient Greece for Kids: Through the Lives of Its Philosophers, Lawmakers, and Heroes",Catherine Fet,Children's Nonfiction / History,"Ancient Greece, Biography","Twenty figures from Homer and Aesop to Socrates, Alexander and Archimedes, retold from Herodotus, Plutarch and other ancient sources as short story-based chapters for ages 8–14."
Ancient Mythologies,Charles Kovacs,Teaching Guide / Waldorf Curriculum,"Mythology, Ancient Cultures, Waldorf","A Waldorf class teacher's retellings of Indian, Persian, Mesopotamian and Egyptian myth, prepared for the fifth-grade ancient civilizations block."
Ancient Romans Sticker Book,Sticker History,Children's Activity Book,"Ancient Rome, Stickers",A sticker-history book for dressing and populating scenes of Roman life.
"Ancient Rome for Kids: Through the Lives of Its Heroes, Emperors, and Philosophers",Catherine Fet,Children's Nonfiction / History,"Ancient Rome, Biography","Roman history through the anecdotes and lives of its heroes, emperors and thinkers, in the same story-first format as the author's Greece volume."
Angels & Demons,Dan Brown,Thriller,"Vatican, Symbology, Conspiracy",Robert Langdon races through Rome to stop an Illuminati plot against the Vatican during a papal conclave. The first Langdon novel.
Anh's Anger,Gail Silver (illustrated by Christiane Krömer),Children's Picture Book,"Anger, Mindfulness","Sent to his room in a rage, Anh meets his anger as a shaggy red creature and learns from his grandfather to sit with the feeling and breathe until it passes."
Any Room for Me?,Loek Koopmans,Children's Picture Book / Folktale,"Folktales, Sharing, Animals","A retelling of the mitten-style folktale in which one animal after another squeezes into a small shelter, until it can hold no more."
"Archers, Alchemists, and 98 Other Medieval Jobs You Might Have Loved or Loathed",Priscilla Galloway,Children's Nonfiction,"Medieval History, Occupations","One hundred medieval occupations described with their pay, prospects and unpleasantness, from falconer to gong farmer."
Are You Ready to Play Outside?,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Weather, Optimism, Friendship",Rain spoils Piggie's plans for a perfect day outside until two worms show her how much fun a downpour can be.
Art Lab for Little Kids: 52 Playful Projects for Preschoolers,Susan Schwake,Activity Book,"Art Projects, Preschool","Fifty-two open-ended art projects for young children, organized by medium and inspired by contemporary artists."
Artemis Fowl,Eoin Colfer,Children's Chapter Book / Fantasy,"Fairies, Heist, Technology",A twelve-year-old criminal mastermind kidnaps a fairy officer for ransom and discovers the fairies fight back with technology. First in the Artemis Fowl series.
Arthur and the Golden Rope,Joe Todd-Stanton,Children's Picture Book / Graphic,"Norse Mythology, Adventure","A Brownstone family adventure: small, bookish Arthur travels to the frozen north to fetch a golden rope and bind the wolf Fenrir, saving his village's fire."
Atlas of Adventures,Rachel Williams (illustrated by Lucy Letherland),Children's Nonfiction / Atlas,"Travel, World Geography, Adventure","A large-format illustrated atlas of extraordinary experiences around the world, from tomato fights to whale watching, organized by continent."
"Autumn: Poems, Songs and Stories",Wynstones Press,Children's Anthology / Waldorf Curriculum,"Autumn, Seasonal Verse, Waldorf Festivals","Verses, songs, and stories for the autumn season, including Michaelmas and harvest material. Part of the Wynstones seasonal series."
Baby's Black & White Contrast Book,Tabitha Paige,Children's Board Book,"Infants, High Contrast, Visual Development","An accordion-fold board book of black-and-white watercolor animal paintings designed for newborn visual development. It stands upright on its own, which makes it useful during tummy time."
Bad Badger: A Love Story,Maryrose Wood,Children's Chapter Book,"Badgers, Friendship, Belonging","A badger who inexplicably loves the sea, and the seagull who befriends him, work out where he belongs. A short, odd, tender novel."
"Basic Structures, Book 2: French — A Reader for The Learnables, Book 2",Hélène Germain-Simões & Harris Winitz,Language Instruction,"French, Reading, Comprehensible Input","A second-level French reader accompanying The Learnables, building grammar and vocabulary through comprehensible reading rather than drill. Second edition."
Bat Loves the Night,Nicola Davies (illustrated by Sarah Fox-Davies),Children's Nonfiction Picture Book,"Bats, Echolocation, Night","A pipistrelle bat wakes at dusk, hunts moths by echolocation through the dark, and returns at dawn to feed her baby, told in lyrical narrative with factual notes running alongside. Part of the Read and Wonder series."
Be Glad Your Nose Is on Your Face and Other Poems,Jack Prelutsky (illustrated by Brandon Dorman),Children's Poetry,"Humor, Poetry","A career-spanning collection of Prelutsky's funniest verse, full of absurd creatures, misbehaving children and wordplay."
Bea Wolf,Zach Weinersmith (illustrated by Boulet),Children's Graphic Novel,"Beowulf, Parody, Treehouse",Beowulf retold as a neighborhood epic in which a fearsome child-hero defends a treehouse from a joy-killing grown-up. Written in alliterative Old English meter.
Beast Academy Level 1A Guide & Practice,Jason Batterson (Art of Problem Solving),Children's Math Curriculum / Comics,"Mathematics, Problem Solving","Comic-book math instruction with a matched practice book, covering the first level of the Beast Academy sequence."
Beast Academy Level 2A Guide,Jason Batterson & Kyle Guillet (Art of Problem Solving),Children's Math Curriculum / Comics,"Mathematics, Problem Solving",Comic-format math lessons for level 2A of Beast Academy.
Beast Academy Level 2B Guide & Practice,"Jason Batterson, Kyle Guillet & Chris Page (Art of Problem Solving)",Children's Math Curriculum / Comics,"Mathematics, Problem Solving",Level 2B guide and practice volumes from the Beast Academy comic math series.
Beast Academy Level 2C Guide & Practice,Jason Batterson & Erich Owen (Art of Problem Solving),Children's Math Curriculum / Comics,"Mathematics, Problem Solving",Level 2C guide and practice volumes from the Beast Academy comic math series.
Beast Academy Level 2D Guide & Practice,Jason Batterson & Erich Owen (Art of Problem Solving),Children's Math Curriculum / Comics,"Mathematics, Problem Solving",Level 2D guide and practice volumes from the Beast Academy comic math series.
Beast Academy Puzzles 2,Art of Problem Solving,Children's Math Puzzles,"Mathematics, Puzzles",A puzzle companion to the level 2 Beast Academy books.
Beast Academy Puzzles 3,Art of Problem Solving,Children's Math Puzzles,"Mathematics, Puzzles",A puzzle companion to the level 3 Beast Academy books.
Beautiful Botanical Embroidery,C&B Crafts,Craft Instruction,"Embroidery, Botanical Design","Botanical embroidery patterns and stitch instruction for flowers, leaves and plants."
Bedtime Math: This Time It's Personal,Laura Overdeck,Children's Nonfiction,"Mathematics, Daily Practice","Short nightly math problems built around funny real-world scenarios, with a difficulty level for every age."
Beginning Beekeeping,Tanya Phillips,Reference,"Beekeeping, Beginners, Hive Management","A first-year guide to setting up and keeping a hive, from equipment through the first honey harvest."
Behind the Legend: Dragons,Erin Peabody (art by Victor Rivas),Children's Nonfiction / Folklore,"Dragons, Myth vs. Fact, Cryptids","Traces dragon legends across cultures and weighs the evidence behind them, inviting young readers to decide what's fact and what's fiction. Part of the Behind the Legend series."
Beyond the Rainbow Bridge: Nurturing Our Children from Birth to Seven,Barbara J. Patterson & Pamela Bradley,Nonfiction / Parenting / Waldorf,"Early Childhood, Rhythm, Waldorf","A Waldorf kindergarten teacher's guidance on rhythm, play, discipline, and the senses in the first seven years."
Billy and the Minpins,Roald Dahl,Children's Chapter Book,"Forest, Tiny People, Monsters","Billy disobeys and walks into the Forest of Sin, where he meets the tiny tree-dwelling Minpins and the Gruncher that hunts them. Reissue of The Minpins, illustrated by Quentin Blake."
Birds of Prey Coloring Book,Dover Publications,Coloring Book,"Birds of Prey, Natural History","Accurate line drawings of hawks, eagles, owls and falcons to color, with identification notes."
Biscuit in the Garden,Alyssa Satin Capucilli (illustrated by Pat Schories),Early Reader / My First I Can Read,"Dogs, Gardens, Spring",The little yellow puppy Biscuit discovers everything growing and crawling in the spring garden.
Blood Bound,Ellis Hunter,Fantasy / Romance,"Dragons, Witches, Duels","Two heirs are bound by an ancient covenant to duel to the death for control of the source of all magic. First of the Cursed Covenant trilogy, written by a two-author duo under one pen name."
Blood Moon,Britney S. Lewis,Young Adult Fantasy / Horror,"Vampires, Grief, Romance","A grieving teenager is drawn to a boy who may not be human, in a dark contemporary fantasy."
Blue Lock Vol. 1,Muneyuki Kaneshiro (art by Yusuke Nomura),Manga,"Soccer, Competition, Sports",Three hundred strikers are locked in a facility to produce Japan's ultimate egoist forward. First volume.
Blue Lock Vol. 2,Muneyuki Kaneshiro (art by Yusuke Nomura),Manga,"Soccer, Competition, Sports",The elimination games inside Blue Lock continue. Second volume.
Blue Lock Vol. 3,Muneyuki Kaneshiro (art by Yusuke Nomura),Manga,"Soccer, Competition, Sports",The elimination games inside Blue Lock continue. Third volume.
Bluey: All About Bingo,Penguin Young Readers Licenses,Children's Board Book,"Bluey, Family, Television Tie-In","A Bingo-shaped board book based on the animated series Bluey, introducing Bluey's little sister and the things she likes to do. Covers her favorite outdoor games, singing, and bedtime routines."
Botany,Charles Kovacs,Teaching Guide / Waldorf Curriculum,"Botany, Waldorf Pedagogy","A Waldorf class teacher's approach to the fifth-grade botany block, presenting plant kingdoms in relation to the developing child."
Botany for the Artist,Sarah Simblet,Art Instruction,"Botanical Drawing, Plants","A guide to drawing plants accurately, combining botanical structure with drawing technique and photographic reference."
Boy: Tales of Childhood,Roald Dahl,Memoir,"Childhood, Boarding School, Wales","Dahl's memoir of a Welsh-Norwegian childhood, English boarding schools, and the caning, sweetshops, and holidays in between."
Braiding Sweetgrass for Young Adults,"Robin Wall Kimmerer (adapted by Monique Gray Smith, illustrated by Nicole Neidhardt)",Young Adult Nonfiction / Nature,"Indigenous Knowledge, Botany, Reciprocity",The young-adult adaptation of Kimmerer's essays braiding Potawatomi teachings with plant science and personal history.
Brain Boosters: Math Puzzles,Arcturus,Children's Puzzle Book,"Mathematics, Puzzles",Number and logic puzzles designed to stretch mathematical thinking.
Brave New World,Aldous Huxley,Dystopian Fiction,"Conditioning, Pleasure, Dystopia",A society engineered for stability and contentment is disturbed by a man raised outside it. Huxley's 1932 novel.
Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brene Brown,Nonfiction / Psychology,"Belonging, Courage, Connection","Brown argues that true belonging requires the willingness to stand alone, and looks at what polarization does to connection. Drawn from her research on vulnerability and shame."
Breathe Like a Bear,Kira Willey (illustrated by Anni Betts),Children's Picture Book,"Mindfulness, Breathing, Emotional Regulation","Thirty short mindfulness exercises for children — breathing, movement, focus and relaxation — each modeled on an animal or natural image and grouped for use anytime and anywhere."
Bringing Down the Moon,Jonathan Emmett (illustrated by Vanessa Cabban),Children's Picture Book,"Nature, Wonder, Perspective","Mole is enchanted by the moon and tries every way he can think of to bring it down, learning that some beautiful things are best left where they are."
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr. (pictures by Eric Carle),Children's Picture Book,"Colors, Animals, Rhyme","The classic call-and-response rhyme in which each brightly colored animal sees the next, ending with the children and their teacher."
Buddha at Bedtime,Dharmachari Nagaraja,Children's Anthology,"Buddhism, Bedtime Stories, Values","Twenty gentle tales adapted from Buddhist teaching stories, each with a short reflection for winding down at bedtime."
Bugs from Head to Tail,Stacey Roderick,Children's Picture Book,"Insects, Guessing Game","A guessing game of insect body parts, revealing each bug after a close-up clue."
Build the Solar System,Various,Children's Nonfiction / Model Kit,"Solar System, Astronomy",A 32-page book packaged with 27 model pieces for assembling a three-dimensional solar system.
Build Your Own Chain Reaction Machines,Paul Long,Children's Activity Book,"Engineering, Physics, Rube Goldberg","Instructions for building chain-reaction contraptions from household objects, with the physics behind each stage."
Build-A-Bug,Various,Children's Novelty / Nonfiction,"Insects, Anatomy","An interactive look at insect anatomy, assembling bugs part by part to show how each piece works."
"Building Foundations of Scientific Understanding, Vol. 1","Bernard J. Nebel, Ph.D.",Teaching Guide / Curriculum,"Science Curriculum, Elementary","A K–2 science curriculum built as a logical progression of lessons in matter, life, energy and earth science."
Call Me by Your Name,Andre Aciman,Literary Fiction,"Italy, First Love, Memory","A summer romance between a seventeen-year-old and his father's visiting graduate student on the Italian Riviera, remembered decades later."
"Camilla, Cartographer",Julie Dillemuth (illustrated by Laura Wood),Children's Picture Book,"Maps, Problem Solving",Camilla the piglet uses her old maps and her own map-making skills to find a way through the snow with her friend Parsley.
Can I Play Too?,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Inclusion, Problem Solving, Friendship","A snake with no arms asks to join Gerald and Piggie's game of catch, and the three invent a way for everyone to play."
Can You Hear the Trees Talking?,Peter Wohlleben,Children's Nonfiction,"Trees, Forests, Ecology","The children's adaptation of The Hidden Life of Trees, on how trees communicate, cooperate and care for their young."
Catching Fire,Suzanne Collins,Young Adult Dystopian Fiction,"Hunger Games, Rebellion, Survival","Katniss's survival becomes a spark, and the Quarter Quell drags her back into the arena. Second in The Hunger Games trilogy."
Cats & Kittens Coloring Book,Veronica Hue,Coloring Book,"Cats, Coloring",Detailed cat and kitten illustrations to color.
Cece Loves Science,Kimberly Derting & Shelli R. Johannes,Children's Picture Book,"Science, Experiments, Curiosity","Cece and her friend run a real experiment to find out whether her dog will eat vegetables, learning the scientific method along the way."
Celtic Gods and Heroes,Marie-Louise Sjoestedt,Mythology Reference,"Celtic Mythology, Folklore","A scholarly study of the Celtic pantheon and heroic tradition, covering the gods of the tribe, the territory and the arts."
Celtic Tree Rituals,Sharlyn Hidalgo,Nonfiction / Folklore,"Ogham, Trees, Celtic Tradition","Rituals and lore for the trees of the ogham alphabet, month by month through the Celtic tree calendar."
Chandra's Magic Light,Theresa Heine (illustrated by Judith Gueyfier),Children's Picture Book,"Nepal, Solar Energy, Family","Two sisters in Kathmandu save to buy a solar lamp so their family can stop burning smoky kerosene, in a story about ingenuity and clean light."
Charles Darwin's Around-the-World Adventure,Jennifer Thermes,Children's Nonfiction / Biography,"Darwin, Exploration, Natural History",A mapped account of the five-year Beagle voyage and the observations that led Darwin toward his theory.
Charlie and the Chocolate Factory,Roald Dahl,Children's Chapter Book,"Chocolate Factory, Golden Ticket, Poetic Justice","Charlie Bucket wins one of five golden tickets into Willy Wonka's factory, where four other children get exactly what they deserve."
Charlie and the Great Glass Elevator,Roald Dahl,Children's Chapter Book,"Space, Sequel, Elevator",The Bucket family shoots into orbit in the Great Glass Elevator and runs into the Vermicious Knids. Sequel to Charlie and the Chocolate Factory.
Children of Ragnarok,Cinda Williams Chima,Young Adult Fantasy,"Norse Mythology, Ragnarok, Survival","Generations after Ragnarok, the survivors of the old world scheme and fight in the New Land. First of The Runestone Saga."
Children of the Forest,Elsa Beskow,Children's Picture Book,"Forest, Seasons, Swedish Classic","A classic Swedish picture book following a family of tiny forest children through a year of gathering, playing, and sheltering under the pines. Beskow's watercolors are a staple of Waldorf-leaning nature libraries."
Children's Book of Philosophy,DK,Children's Reference,"Philosophy, Critical Thinking","An illustrated introduction to the big questions and the thinkers who asked them, from Socrates to modern philosophers, with thought experiments for readers to try."
Christian Mythology: A Secular Family Storybook,Chrystine Trooien,Anthology / Comparative Religion,"Bible Stories, Secular Education","Bible stories retold for secular families as mythology rather than doctrine, presenting the narratives alongside their cultural context. Second edition."
